"Name","Discount Code","Percentage (%)","Amount (৳  )","Number Of Use Count","Expiry Date"
"discount 300                                                                                                                                                              No Description","08","","300.00","12",""
"discount 200                                                                                                                                                              No Description","07","","200.00","12",""
"discount 350                                                                                                                                                              No Description","06","","350.00","12",""
"discount 150                                                                                                                                                              No Description","05","","150.00","12","31/12/2026"
"discount 100                                                                                                                                                              No Description","04","","100.00","12","31/12/2026"
"discount 250                                                                                                                                                              No Description","03","","250.00","12",""
"ফুল ফ্রী                                                                                                                                                              No Description","02","100.00","","12",""
"হাফ ফ্রী                                                                                                                                                              No Description","01","50.00","","12",""

